sensor_index,date_created,private,name,icon,location_type,model,hardware,latitude,longitude
108612,1623449324,0,Windward Cove,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.394257,-122.26231
108614,1623449331,0,W Quinto,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,34.43478,-119.72216
108628,1623450007,0,22nd Ave Outdoor,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.79615,-122.22741
108630,1623450012,0,PAII_DoubleDiamond,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.42807,-119.73738
108632,1623450023,0,22104 NE 78th St,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.673546,-122.04516
108636,1623450876,0,Outside,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.232243,-122.14726
108646,1623453709,0,Cedar Cove,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,47.59606,-122.02628
108652,1623454403,0,Schmoopfront,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33.071095,-117.29702
108654,1623454428,0,Lake Elementary School,0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,39.769356,-122.15917
108656,1623454432,0,Filamina,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,38.47138,-122.75783
108660,1623454440,0,Big Hole National Battlefield Visitor Center,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,45.641335,-113.64336
108664,1623454452,0,South Lake Ridge,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,47.46369,-122.59148
108678,1623455151,0,Keller Elementary,0,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,48.051926,-118.68318
108688,1623455738,0,Meadowbrook,0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,44.02689,-121.3454
